Algorithm, Date, Population Count, alpha, beta, stagnation, best after, best, execution time, other variables 
AS, 03122022-084343, 26, 5, 10, 49, 33, 8273906, 65.8286030292511, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.QapAnt object at 0x00000200AE86A910> | 
AS, 03122022-084410, 26, 5, 10, 20, 4, 8242066, 27.156058073043823, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.QapAnt object at 0x00000200AE86A760> | 
AS, 03122022-084433, 26, 5, 10, 16, 0, 8341854, 22.552881240844727, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.QapAnt object at 0x00000200AE86A190> | 
ACO, 03122022-084951, 53, 5, 10, 18, 2, 8254314, 56.20337224006653, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.9 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.QapAnt object at 0x00000200AE8A8310> | 
ACO, 03122022-085041, 53, 5, 10, 16, 0, 8293508, 49.79105877876282, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.9 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.QapAnt object at 0x00000200AE8A8D00> | 
ACO, 03122022-085138, 53, 5, 10, 18, 2, 8324526, 56.892911195755005, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.9 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.QapAnt object at 0x00000200AE8A8D60> | 
MMAS, 03122022-085714, 53, 5, 10, 67, 51, 8242140, 168.05706930160522, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.9 |startpheromone = 2.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 1.2132771343364713e-06 |min_pheromone = 2.1419078812632634e-09 |smoothing_coef = 0.5 |globalbest = <ant_defs.QapAnt object at 0x00000200AE868640> | 
MMAS, 03122022-085939, 53, 5, 10, 58, 10, 8258532, 145.08683609962463, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.9 |startpheromone = 2.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 1.2108689534653377e-06 |min_pheromone = 2.1376565017215154e-09 |smoothing_coef = 0.5 |globalbest = <ant_defs.QapAnt object at 0x00000200AE86AF10> | 
MMAS, 03122022-090214, 53, 5, 10, 61, 45, 8270690, 155.79302406311035, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.9 |startpheromone = 2.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 1.2090889635568497e-06 |min_pheromone = 2.134514124513818e-09 |smoothing_coef = 0.5 |globalbest = <ant_defs.QapAnt object at 0x00000200AE86AE50> | 
ASRANK, 03122022-090438, 53, 5, 10, 19, 3, 8277306, 49.55503463745117, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.9 |startpheromone = 1.0 |elite_multiplier = 25 |globalbest = <ant_defs.QapAnt object at 0x00000200AE868B50> | 
ASRANK, 03122022-090538, 53, 5, 10, 23, 7, 8297472, 59.11770725250244, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.9 |startpheromone = 1.0 |elite_multiplier = 25 |globalbest = <ant_defs.QapAnt object at 0x00000200AE86A7C0> | 
ASRANK, 03122022-090712, 53, 5, 10, 37, 21, 8287932, 94.4063458442688, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.9 |startpheromone = 1.0 |elite_multiplier = 25 |globalbest = <ant_defs.QapAnt object at 0x00000200AE86A190> | 
