Algorithm, Date, Population Count, alpha, beta, stagnation, best after, best, execution time, other variables 
AS, 03122022-091432, 26, 5, 10, 24, 8, 295100, 127.7276303768158, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.QapAnt object at 0x000002008EBB2D30> | 
AS, 03122022-091608, 26, 5, 10, 17, 1, 296770, 95.3644437789917, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.QapAnt object at 0x00000200AEA37670> | 
AS, 03122022-091740, 26, 5, 10, 17, 1, 295978, 92.55799269676208, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.QapAnt object at 0x000002008EBB2A90> | 
ACO, 03122022-092315, 53, 5, 10, 28, 12, 296342, 334.66100668907166, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.9 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.QapAnt object at 0x00000200AE86A670> | 
ACO, 03122022-093038, 53, 5, 10, 38, 22, 295240, 442.84971022605896, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.9 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.QapAnt object at 0x00000200AE8AAA00> | 
ACO, 03122022-093409, 53, 5, 10, 18, 2, 295570, 211.71189546585083, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.9 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.QapAnt object at 0x000002008EBB2E50> | 
MMAS, 03122022-094529, 53, 5, 10, 69, 37, 294934, 679.9090991020203, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.9 |startpheromone = 2.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 3.390589080946924e-05 |min_pheromone = 2.1042797061101387e-08 |smoothing_coef = 0.5 |globalbest = <ant_defs.QapAnt object at 0x00000200AEA37070> | 
MMAS, 03122022-100008, 53, 5, 10, 85, 69, 295360, 878.6314041614532, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.9 |startpheromone = 2.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 3.38569880823402e-05 |min_pheromone = 2.1012446873032488e-08 |smoothing_coef = 0.5 |globalbest = <ant_defs.QapAnt object at 0x00000200AE8AAFD0> | 
MMAS, 03122022-101104, 53, 5, 10, 65, 33, 295344, 656.1826026439667, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.9 |startpheromone = 2.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 3.3858822254726696e-05 |min_pheromone = 2.1013585203758585e-08 |smoothing_coef = 0.5 |globalbest = <ant_defs.QapAnt object at 0x00000200AE86A7F0> | 
ASRANK, 03122022-102020, 53, 5, 10, 55, 39, 295840, 555.6957776546478, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.9 |startpheromone = 1.0 |elite_multiplier = 25 |globalbest = <ant_defs.QapAnt object at 0x00000200AE8AA190> | 
ASRANK, 03122022-102355, 53, 5, 10, 21, 5, 295404, 215.27684903144836, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.9 |startpheromone = 1.0 |elite_multiplier = 25 |globalbest = <ant_defs.QapAnt object at 0x00000200AEA37910> | 
AS, 03122022-103003, 26, 1, 1, 40, 24, 295928, 202.65518426895142, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.QapAnt object at 0x000002008F9A8E20> | 
AS, 03122022-103240, 26, 1, 1, 31, 15, 295652, 157.18902111053467, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.QapAnt object at 0x000002008F9A8D60> | 
AS, 03122022-103409, 26, 1, 1, 17, 1, 295208, 88.66863179206848, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.QapAnt object at 0x00000200AE85CEE0> | 
Algorithm, Date, Population Count, alpha, beta, stagnation, best after, best, execution time, other variables 
AS, 03122022-104417, 26, 2, 1, 25, 9, 295678, 134.2716579437256, pheromone_preference = 1 |heuristic_preference = 2 |Qval = 2 |evaporation = 0.5 |startpheromone = 2.0 |globalbest = <ant_defs.QapAnt object at 0x000002008F9A8BB0> | 
AS, 03122022-104549, 26, 2, 1, 17, 1, 296222, 92.21055221557617, pheromone_preference = 1 |heuristic_preference = 2 |Qval = 2 |evaporation = 0.5 |startpheromone = 2.0 |globalbest = <ant_defs.QapAnt object at 0x00000200AE868340> | 
AS, 03122022-104731, 26, 2, 1, 19, 3, 295970, 102.49579763412476, pheromone_preference = 1 |heuristic_preference = 2 |Qval = 2 |evaporation = 0.5 |startpheromone = 2.0 |globalbest = <ant_defs.QapAnt object at 0x00000200AE868310> | 
