Algorithm, Date, Population Count, alpha, beta, stagnation, best after, best, execution time, other variables 
AS, 12112022-082401, 51, 0.5, 0.5, 36, 25, 1179.0, 22.2922203540802, pheromone_preference = 0.5 |heuristic_preference = 0.5 |Qval = 2 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017D224D1F40> | 
AS, 12112022-082609, 51, 0.5, 0.5, 32, 21, 1115.0, 24.90585494041443, pheromone_preference = 0.5 |heuristic_preference = 0.5 |Qval = 2 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017D22499F70> | 
AS, 12112022-082644, 51, 0.5, 0.5, 11, 0, 477.0, 3.535149097442627, pheromone_preference = 0.5 |heuristic_preference = 0.5 |Qval = 2 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017D22499E20> | 
AS, 12112022-082659, 51, 0.5, 0.5, 11, 0, 477.0, 3.421286106109619, pheromone_preference = 0.5 |heuristic_preference = 0.5 |Qval = 2 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017D224A5580> | 
AS, 12112022-082814, 51, 0.5, 0.5, 17, 6, 1168.0, 19.655759811401367, pheromone_preference = 0.5 |heuristic_preference = 0.5 |Qval = 2 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017D22499C10> | 
ACO, 12112022-083706, 51, 0.5, 0.5, 21, 10, 701.0, 24.38675856590271, pheromone_preference = 0.5 |heuristic_preference = 0.5 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017D225233A0> | 
AS, 12112022-083758, 51, 0.5, 0.5, 21, 10, 1240.0, 13.866689205169678, pheromone_preference = 0.5 |heuristic_preference = 0.5 |Qval = 2 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017D2252A5E0> | 
AS, 12112022-083816, 51, 0.5, 0.5, 21, 10, 1222.0, 13.886893510818481, pheromone_preference = 0.5 |heuristic_preference = 0.5 |Qval = 2 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017D2252A2B0> | 
AS, 12112022-083838, 51, 0.5, 0.5, 17, 6, 1213.0, 11.263278007507324, pheromone_preference = 0.5 |heuristic_preference = 0.5 |Qval = 2 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017D22523A60> | 
AS, 12112022-084142, 100, 0.5, 0.5, 35, 24, 1130.0, 42.91646122932434, pheromone_preference = 0.5 |heuristic_preference = 0.5 |Qval = 2 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017D224A53D0> | 
