Algorithm, Date, Population Count, alpha, beta, stagnation, best after, best, execution time, other variables 
AS, 14112022-143612, 100, 1, 1, 49, 38, 85970.0, 318.9607264995575, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262FBB700> | 
AS, 14112022-144100, 100, 1, 1, 45, 34, 87578.0, 287.68594574928284, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262FBB2B0> | 
AS, 14112022-144342, 100, 1, 1, 25, 14, 84624.0, 162.49574732780457, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262DB1100> | 
AS, 14112022-144727, 100, 1, 1, 35, 24, 84094.0, 224.63182973861694, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262FB05E0> | 
AS, 14112022-145033, 100, 1, 1, 29, 18, 88542.0, 186.44010019302368, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262FB0FD0> | 
AS, 14112022-145339, 100, 1, 1, 29, 18, 88421.0, 186.08970594406128, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262FBD310> | 
AS, 14112022-145729, 100, 1, 1, 36, 25, 86241.0, 230.07738184928894, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262DB1F70> | 
AS, 14112022-150215, 100, 1, 1, 45, 34, 82133.0, 286.0066809654236, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017243E65D00> | 
AS, 14112022-150528, 100, 1, 1, 30, 19, 83491.0, 193.06150937080383, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017243E65CD0> | 
AS, 14112022-150919, 100, 1, 1, 36, 25, 86519.0, 230.33361268043518, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017243E65AC0> | 
ACO, 14112022-151302, 100, 1, 1, 29, 18, 44327.0, 223.47754979133606, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262DB1BE0> | 
ACO, 14112022-151623, 100, 1, 1, 26, 15, 45350.0, 201.15520000457764, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262FB02E0> | 
ACO, 14112022-151943, 100, 1, 1, 26, 15, 46265.0, 199.72966194152832, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017243E65B50> | 
ACO, 14112022-152341, 100, 1, 1, 31, 20, 43113.0, 237.30690741539001, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262FBD6D0> | 
ACO, 14112022-152652, 100, 1, 1, 25, 14, 49455.0, 191.87252116203308, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262FB0AF0> | 
ACO, 14112022-153038, 100, 1, 1, 30, 19, 45551.0, 225.56740498542786, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262FB00D0> | 
ACO, 14112022-153536, 100, 1, 1, 40, 29, 46960.0, 298.26983642578125, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262DB1730> | 
ACO, 14112022-154046, 100, 1, 1, 41, 30, 43404.0, 309.3296799659729, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262FBDAC0> | 
ACO, 14112022-154457, 100, 1, 1, 33, 22, 46896.0, 251.9302201271057, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262DB10A0> | 
ACO, 14112022-154826, 100, 1, 1, 27, 16, 47118.0, 208.2229859828949, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262DB1340> | 
