Algorithm, Date, Population Count, alpha, beta, stagnation, best after, best, execution time, other variables 
AS, 14112022-123901, 51, 1, 1, 25, 14, 1047.0, 17.76512122154236, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262D97EE0> | 
AS, 14112022-123913, 51, 1, 1, 18, 7, 1051.0, 12.257486343383789, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262D97790> | 
AS, 14112022-123932, 51, 1, 1, 27, 16, 1026.0, 18.521138906478882, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262D971C0> | 
AS, 14112022-123948, 51, 1, 1, 23, 12, 1041.0, 15.913024187088013, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262D973A0> | 
AS, 14112022-124008, 51, 1, 1, 32, 21, 1003.0, 20.730987071990967, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262D97DC0> | 
AS, 14112022-124030, 51, 1, 1, 34, 23, 986.0, 21.78041911125183, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262DAF4C0> | 
AS, 14112022-124043, 51, 1, 1, 20, 9, 1075.0, 13.036848545074463, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262D97BB0> | 
AS, 14112022-124056, 51, 1, 1, 20, 9, 1041.0, 13.040279150009155, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262DAF100> | 
AS, 14112022-124118, 51, 1, 1, 34, 23, 1014.0, 21.69264817237854, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262D978E0> | 
AS, 14112022-124135, 51, 1, 1, 27, 16, 1024.0, 17.280298948287964, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262D97550> | 
ACO, 14112022-124151, 51, 1, 1, 21, 10, 686.0, 15.585221290588379, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017243071E80> | 
ACO, 14112022-124211, 51, 1, 1, 27, 16, 667.0, 19.82546377182007, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262DAFF10> | 
ACO, 14112022-124225, 51, 1, 1, 19, 8, 649.0, 14.170965671539307, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262DAF4C0> | 
ACO, 14112022-124245, 51, 1, 1, 28, 17, 644.0, 20.623321056365967, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262DAFE80> | 
ACO, 14112022-124317, 51, 1, 1, 42, 31, 660.0, 31.279306173324585, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017243071FA0> | 
ACO, 14112022-124337, 51, 1, 1, 28, 17, 668.0, 20.654703378677368, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x00000172430719A0> | 
ACO, 14112022-124355, 51, 1, 1, 23, 12, 669.0, 17.3478581905365, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262DAFE20> | 
ACO, 14112022-124415, 51, 1, 1, 27, 16, 615.0, 20.029921531677246, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262DAF490> | 
ACO, 14112022-124445, 51, 1, 1, 41, 30, 675.0, 29.808825492858887, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262DAF9D0> | 
ACO, 14112022-124507, 51, 1, 1, 31, 20, 621.0, 22.73292827606201, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262CD58B0> | 
MMAS, 14112022-124542, 51, 1, 1, 56, 23, 1026.0, 34.947429895401, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 0.001949317738791423 |min_pheromone = 4.8135668030494455e-06 |smoothing_coef = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262DAF190> | 
MMAS, 14112022-124617, 51, 1, 1, 56, 34, 976.0, 35.108383655548096, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 0.0020491803278688526 |min_pheromone = 5.060163463041734e-06 |smoothing_coef = 0.5 |globalbest = <ant_defs.Ant object at 0x000001724307D070> | 
MMAS, 14112022-124647, 51, 1, 1, 48, 26, 980.0, 29.195892572402954, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 0.0020408163265306124 |min_pheromone = 5.039509734621155e-06 |smoothing_coef = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262D51FD0> | 
MMAS, 14112022-124726, 51, 1, 1, 65, 54, 970.0, 39.33958840370178, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 0.002061855670103093 |min_pheromone = 5.091463443225497e-06 |smoothing_coef = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262DAFC40> | 
MMAS, 14112022-124754, 51, 1, 1, 46, 13, 977.0, 28.157390117645264, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 0.0020470829068577278 |min_pheromone = 5.054984175976184e-06 |smoothing_coef = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262DAF700> | 
MMAS, 14112022-124827, 51, 1, 1, 54, 43, 982.0, 32.743613719940186, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 0.002036659877800407 |min_pheromone = 5.029245967340867e-06 |smoothing_coef = 0.5 |globalbest = <ant_defs.Ant object at 0x000001724307D0A0> | 
MMAS, 14112022-124856, 51, 1, 1, 45, 34, 1010.0, 28.937952756881714, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 0.0019801980198019802 |min_pheromone = 4.889821326662111e-06 |smoothing_coef = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262DAFAC0> | 
MMAS, 14112022-124932, 51, 1, 1, 57, 35, 970.0, 36.371214628219604, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 0.002061855670103093 |min_pheromone = 5.091463443225497e-06 |smoothing_coef = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262DAF9A0> | 
MMAS, 14112022-124955, 51, 1, 1, 35, 2, 945.0, 22.584340810775757, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 0.0021164021164021165 |min_pheromone = 5.2261582433108275e-06 |smoothing_coef = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262DAFC10> | 
MMAS, 14112022-125022, 51, 1, 1, 43, 32, 1014.0, 27.395203113555908, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 0.0019723865877712033 |min_pheromone = 4.870532090659499e-06 |smoothing_coef = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262DAF130> | 
ASRANK, 14112022-125114, 51, 1, 1, 81, 30, 958.0, 51.645875215530396, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |elite_multiplier = 25 |globalbest = <ant_defs.Ant object at 0x0000017243071B20> | 
ASRANK, 14112022-125157, 51, 1, 1, 67, 16, 988.0, 42.74147701263428, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |elite_multiplier = 25 |globalbest = <ant_defs.Ant object at 0x0000017262DAF2B0> | 
ASRANK, 14112022-125324, 51, 1, 1, 138, 87, 955.0, 87.51930809020996, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |elite_multiplier = 25 |globalbest = <ant_defs.Ant object at 0x0000017262DAF910> | 
ASRANK, 14112022-125426, 51, 1, 1, 98, 47, 945.0, 61.99120354652405, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |elite_multiplier = 25 |globalbest = <ant_defs.Ant object at 0x0000017262DAF760> | 
ASRANK, 14112022-125538, 51, 1, 1, 114, 63, 950.0, 72.26158213615417, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |elite_multiplier = 25 |globalbest = <ant_defs.Ant object at 0x0000017262DAFD60> | 
ASRANK, 14112022-125636, 51, 1, 1, 90, 39, 920.0, 57.14915180206299, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |elite_multiplier = 25 |globalbest = <ant_defs.Ant object at 0x0000017262DAFDF0> | 
ASRANK, 14112022-125724, 51, 1, 1, 76, 25, 967.0, 48.5670952796936, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |elite_multiplier = 25 |globalbest = <ant_defs.Ant object at 0x0000017243071B20> | 
ASRANK, 14112022-125809, 51, 1, 1, 70, 19, 913.0, 44.550060749053955, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |elite_multiplier = 25 |globalbest = <ant_defs.Ant object at 0x0000017262DAFF70> | 
ASRANK, 14112022-125855, 51, 1, 1, 72, 21, 943.0, 46.28459191322327, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |elite_multiplier = 25 |globalbest = <ant_defs.Ant object at 0x0000017262DAF5E0> | 
ASRANK, 14112022-125935, 51, 1, 1, 62, 11, 986.0, 39.8017795085907, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |elite_multiplier = 25 |globalbest = <ant_defs.Ant object at 0x0000017262D974C0> | 
Algorithm, Date, Population Count, alpha, beta, stagnation, best after, best, execution time, other variables 
AS, 14112022-132639, 51, 5, 10, 32, 21, 490.0, 21.108275890350342, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.1 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262CD5A30> | 
AS, 14112022-132700, 51, 5, 10, 31, 20, 465.0, 20.1689715385437, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.1 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262D17D90> | 
AS, 14112022-132721, 51, 5, 10, 32, 21, 476.0, 21.099466800689697, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.1 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262D974C0> | 
AS, 14112022-132741, 51, 5, 10, 31, 20, 486.0, 20.246882438659668, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.1 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262D97CD0> | 
AS, 14112022-132801, 51, 5, 10, 31, 20, 472.0, 20.180782556533813, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.1 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262CD5A90> | 
AS, 14112022-132822, 51, 5, 10, 32, 21, 476.0, 20.835205554962158, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.1 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262D97730> | 
AS, 14112022-132842, 51, 5, 10, 31, 20, 481.0, 20.206780433654785, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.1 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262D97640> | 
AS, 14112022-132903, 51, 5, 10, 31, 20, 519.0, 20.721954345703125, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.1 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262D97E50> | 
AS, 14112022-132925, 51, 5, 10, 33, 22, 471.0, 21.819897651672363, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.1 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262D97BE0> | 
AS, 14112022-132945, 51, 5, 10, 31, 20, 461.0, 20.1523015499115, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.1 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000017262D978B0> | 
ACO, 14112022-133014, 51, 5, 10, 33, 22, 477.0, 29.43943166732788, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.1 |startpheromone = 1.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262D97BB0> | 
ACO, 14112022-133047, 51, 5, 10, 38, 27, 477.0, 32.92982220649719, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.1 |startpheromone = 1.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262D97F70> | 
ACO, 14112022-133109, 51, 5, 10, 25, 14, 498.0, 21.48075819015503, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.1 |startpheromone = 1.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262D24490> | 
ACO, 14112022-133131, 51, 5, 10, 25, 14, 474.0, 22.031858682632446, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.1 |startpheromone = 1.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262D97FD0> | 
ACO, 14112022-133153, 51, 5, 10, 25, 14, 465.0, 22.15229845046997, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.1 |startpheromone = 1.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262D97910> | 
ACO, 14112022-133226, 51, 5, 10, 38, 27, 480.0, 32.68523621559143, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.1 |startpheromone = 1.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262D97FA0> | 
ACO, 14112022-133300, 51, 5, 10, 40, 29, 486.0, 34.502272605895996, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.1 |startpheromone = 1.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262D972B0> | 
ACO, 14112022-133324, 51, 5, 10, 27, 16, 484.0, 23.30682134628296, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.1 |startpheromone = 1.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262D97BE0> | 
ACO, 14112022-133350, 51, 5, 10, 30, 19, 483.0, 26.17367172241211, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.1 |startpheromone = 1.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262D97220> | 
ACO, 14112022-133419, 51, 5, 10, 34, 23, 481.0, 29.360946893692017, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.1 |startpheromone = 1.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000017262CD5A30> | 
MMAS, 14112022-133441, 51, 5, 10, 35, 13, 485.0, 21.869152545928955, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.1 |startpheromone = 1.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 0.002290950744558992 |min_pheromone = 5.657181603583885e-06 |smoothing_coef = 0.2 |globalbest = <ant_defs.Ant object at 0x0000017262D241F0> | 
MMAS, 14112022-133508, 51, 5, 10, 43, 10, 490.0, 26.68034863471985, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.1 |startpheromone = 1.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 0.002267573696145125 |min_pheromone = 5.599455260690174e-06 |smoothing_coef = 0.2 |globalbest = <ant_defs.Ant object at 0x0000017262D17BB0> | 
