Algorithm, Date, Population Count, alpha, beta, stagnation, best after, best, execution time, other variables 
AS, 15112022-104554, 100, 1, 1, 35, 24, 4295.0, 212.17602515220642, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000021342DA9C70> | 
AS, 15112022-104839, 100, 1, 1, 27, 16, 4420.0, 165.37262535095215, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000021342D28400> | 
AS, 15112022-105151, 100, 1, 1, 30, 19, 4365.0, 191.8730251789093, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x000002132307C400> | 
AS, 15112022-105516, 100, 1, 1, 34, 23, 4448.0, 204.70453143119812, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000021342D28790> | 
AS, 15112022-105802, 100, 1, 1, 26, 15, 4712.0, 166.09202241897583, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000021342DA94C0> | 
AS, 15112022-110017, 100, 1, 1, 22, 11, 4737.0, 135.49198579788208, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000021342D93880> | 
AS, 15112022-110404, 100, 1, 1, 37, 26, 4702.0, 226.48368644714355, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x000002132307C280> | 
AS, 15112022-110720, 100, 1, 1, 32, 21, 4477.0, 196.80472993850708, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000021342D28850> | 
AS, 15112022-110958, 100, 1, 1, 26, 15, 4354.0, 157.21728587150574, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000021342DA9CA0> | 
AS, 15112022-111240, 100, 1, 1, 27, 16, 4555.0, 162.41358518600464, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000021323071D60> | 
ACO, 15112022-111612, 100, 1, 1, 30, 19, 2532.0, 212.34997367858887, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000021342DA9AF0> | 
ACO, 15112022-111952, 100, 1, 1, 31, 20, 2619.0, 219.27000451087952, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000021342DA9040> | 
