Algorithm, Date, Population Count, alpha, beta, stagnation, best after, best, execution time, other variables 
AS, 16112022-150556, 100, 10, 10, 24, 13, 23767.0, 173.10968327522278, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000002B497617A90> | 
AS, 16112022-150813, 100, 10, 10, 20, 9, 24052.0, 136.45144963264465, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000002B4975BADF0> | 
AS, 16112022-151018, 100, 10, 10, 18, 7, 23783.0, 124.64683818817139, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000002B497636B50> | 
AS, 16112022-151233, 100, 10, 10, 19, 8, 23842.0, 134.98582792282104, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000002B49764EF70> | 
AS, 16112022-151458, 100, 10, 10, 20, 9, 23716.0, 145.71380758285522, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000002B497529160> | 
AS, 16112022-151703, 100, 10, 10, 17, 6, 23039.0, 124.34798574447632, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000002B49764A3D0> | 
AS, 16112022-151917, 100, 10, 10, 19, 8, 23777.0, 134.3924286365509, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000002B4975BAD30> | 
AS, 16112022-152136, 100, 10, 10, 19, 8, 23758.0, 139.1645793914795, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000002B4975B0430> | 
ACO, 16112022-152558, 100, 10, 10, 19, 8, 24147.0, 195.34940028190613, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x000002B497645DF0> | 
ACO, 16112022-153002, 100, 10, 10, 22, 11, 23916.0, 243.95140171051025, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x000002B4976224C0> | 
ACO, 16112022-153338, 100, 10, 10, 19, 8, 24161.0, 216.28043460845947, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x000002B4976222E0> | 
ACO, 16112022-153639, 100, 10, 10, 15, 4, 24009.0, 180.7215940952301, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x000002B497631190> | 
ACO, 16112022-153934, 100, 10, 10, 14, 3, 24118.0, 175.04278874397278, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x000002B497622700> | 
ACO, 16112022-154222, 100, 10, 10, 16, 5, 24309.0, 168.4650011062622, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x000002B497631400> | 
ACO, 16112022-154624, 100, 10, 10, 23, 12, 24325.0, 241.91415882110596, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x000002B497631190> | 
ACO, 16112022-154857, 100, 10, 10, 15, 4, 23956.0, 152.81905460357666, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x000002B49762D070> | 
ACO, 16112022-155158, 100, 10, 10, 18, 7, 24106.0, 181.10986375808716, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x000002B49762DF10> | 
MMAS, 16112022-160034, 100, 10, 10, 51, 40, 23813.0, 369.2625629901886, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 0.0004199386889514132 |min_pheromone = 2.6062387386800806e-07 |smoothing_coef = 0.5 |globalbest = <ant_defs.Ant object at 0x000002B497656EB0> | 
MMAS, 16112022-160529, 100, 10, 10, 43, 21, 24379.0, 294.39693331718445, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 0.0004101890971737972 |min_pheromone = 2.5457304681975787e-07 |smoothing_coef = 0.5 |globalbest = <ant_defs.Ant object at 0x000002B497697640> | 
MMAS, 16112022-161035, 100, 10, 10, 46, 24, 23644.0, 306.11927127838135, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 0.0004229402808323466 |min_pheromone = 2.624867327194585e-07 |smoothing_coef = 0.5 |globalbest = <ant_defs.Ant object at 0x000002B497656910> | 
MMAS, 16112022-161555, 100, 10, 10, 46, 13, 23620.0, 319.726811170578, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 0.0004233700254022016 |min_pheromone = 2.627534423547365e-07 |smoothing_coef = 0.5 |globalbest = <ant_defs.Ant object at 0x000002B497660580> | 
MMAS, 16112022-162016, 100, 10, 10, 36, 25, 24070.0, 261.5077614784241, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 0.00041545492314083927 |min_pheromone = 2.57841142850805e-07 |smoothing_coef = 0.5 |globalbest = <ant_defs.Ant object at 0x000002B4976868B0> | 
ASRANK, 16112022-162456, 100, 10, 10, 17, 6, 45950.0, 118.89027380943298, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.8 |startpheromone = 1.0 |elite_multiplier = 50 |globalbest = <ant_defs.Ant object at 0x000002B4976EF4C0> | 
ASRANK, 16112022-162654, 100, 10, 10, 17, 6, 45714.0, 117.6220543384552, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.8 |startpheromone = 1.0 |elite_multiplier = 50 |globalbest = <ant_defs.Ant object at 0x000002B4976EF340> | 
ASRANK, 16112022-162853, 100, 10, 10, 16, 5, 40815.0, 119.24137926101685, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.8 |startpheromone = 1.0 |elite_multiplier = 50 |globalbest = <ant_defs.Ant object at 0x000002B4976EF0A0> | 
ASRANK, 16112022-163108, 100, 10, 10, 18, 7, 41703.0, 134.88248825073242, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.8 |startpheromone = 1.0 |elite_multiplier = 50 |globalbest = <ant_defs.Ant object at 0x000002B49613DA30> | 
ASRANK, 16112022-163308, 100, 10, 10, 16, 5, 44088.0, 119.64942479133606, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.8 |startpheromone = 1.0 |elite_multiplier = 50 |globalbest = <ant_defs.Ant object at 0x000002B4976C3880> | 
ASRANK, 16112022-163739, 100, 10, 10, 23, 12, 82073.0, 161.5489308834076, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.4 |startpheromone = 1.0 |elite_multiplier = 50 |globalbest = <ant_defs.Ant object at 0x000002B49771F670> | 
ASRANK, 16112022-164028, 100, 10, 10, 24, 13, 79690.0, 168.7710199356079, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.4 |startpheromone = 1.0 |elite_multiplier = 50 |globalbest = <ant_defs.Ant object at 0x000002B4976D8EE0> | 
ASRANK, 16112022-164420, 100, 5, 10, 24, 13, 25337.0, 168.53733682632446, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.9 |startpheromone = 1.0 |elite_multiplier = 50 |globalbest = <ant_defs.Ant object at 0x000002B49774D4F0> | 
