Algorithm, Date, Population Count, alpha, beta, stagnation, best after, best, execution time, other variables 
ACO, 16112022-073636, 100, 5, 5, 31, 20, 127125.0, 141.59729146957397, pheromone_preference = 5 |heuristic_preference = 5 |Qval = 3 |evaporation = 0.6 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x000002414AE75D60> | 
ACO, 16112022-074115, 100, 5, 5, 63, 52, 120553.0, 278.4997398853302, pheromone_preference = 5 |heuristic_preference = 5 |Qval = 3 |evaporation = 0.6 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x000002414AE75F40> | 
ACO, 16112022-074319, 100, 5, 5, 28, 17, 127749.0, 124.57690763473511, pheromone_preference = 5 |heuristic_preference = 5 |Qval = 3 |evaporation = 0.6 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x000002414AE8A280> | 
ACO, 16112022-074532, 100, 5, 5, 30, 19, 126920.0, 132.85239601135254, pheromone_preference = 5 |heuristic_preference = 5 |Qval = 3 |evaporation = 0.6 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x000002414AE759D0> | 
ACO, 16112022-074927, 100, 5, 5, 52, 41, 120977.0, 234.91120171546936, pheromone_preference = 5 |heuristic_preference = 5 |Qval = 3 |evaporation = 0.6 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x000002414AE756A0> | 
ACO, 16112022-075148, 100, 5, 5, 32, 21, 128206.0, 140.58116030693054, pheromone_preference = 5 |heuristic_preference = 5 |Qval = 3 |evaporation = 0.6 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x000002414AE8AE50> | 
ACO, 16112022-075343, 100, 5, 5, 26, 15, 128111.0, 114.94695615768433, pheromone_preference = 5 |heuristic_preference = 5 |Qval = 3 |evaporation = 0.6 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x000002412A28A220> | 
ACO, 16112022-075625, 100, 5, 5, 37, 26, 125474.0, 162.12859559059143, pheromone_preference = 5 |heuristic_preference = 5 |Qval = 3 |evaporation = 0.6 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x000002414AE4FEE0> | 
ACO, 16112022-075816, 100, 5, 5, 25, 14, 124780.0, 111.16316270828247, pheromone_preference = 5 |heuristic_preference = 5 |Qval = 3 |evaporation = 0.6 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x000002414AE8A520> | 
ACO, 16112022-075950, 100, 5, 5, 21, 10, 126549.0, 93.88669109344482, pheromone_preference = 5 |heuristic_preference = 5 |Qval = 3 |evaporation = 0.6 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x000002414AE8A220> | 
