Algorithm, Date, Population Count, alpha, beta, stagnation, best after, best, execution time, other variables 
AS, 19112022-102056, 124, 1, 1, 26, 15, 121273.0, 209.28946614265442, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000016E94F22B20> | 
AS, 19112022-102554, 124, 1, 1, 38, 27, 117874.0, 297.56325244903564, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000016E9653C730> | 
AS, 19112022-103152, 124, 1, 1, 46, 35, 114570.0, 357.9707293510437, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000016E9653C400> | 
AS, 19112022-103712, 124, 1, 1, 41, 30, 115026.0, 320.1760289669037, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000016E94F22190> | 
AS, 19112022-104046, 124, 1, 1, 27, 16, 116938.0, 213.7084765434265, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000016E9653CC40> | 
AS, 19112022-104457, 124, 1, 1, 32, 21, 108576.0, 251.43566989898682, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000016E94F225B0> | 
AS, 19112022-105002, 124, 1, 1, 39, 28, 114754.0, 305.0888497829437, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000016E9653CFD0> | 
AS, 19112022-105533, 124, 1, 1, 40, 29, 120132.0, 331.23538970947266, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000016E961CC0A0> | 
AS, 19112022-110056, 124, 1, 1, 40, 29, 116349.0, 322.6514322757721, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.Ant object at 0x0000016E961CCBE0> | 
ACO, 19112022-110925, 124, 1, 1, 27, 16, 71455.0, 260.26861357688904, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000016E94EC8850> | 
ACO, 19112022-111409, 124, 1, 1, 30, 19, 62413.0, 284.1228184700012, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000016E97075520> | 
MMAS, 19112022-112740, 124, 1, 1, 56, 23, 114991.0, 447.07128071784973, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 1.7392665512953186e-05 |min_pheromone = 1.0794299220667485e-08 |smoothing_coef = 0.5 |globalbest = <ant_defs.Ant object at 0x0000016E94F4DAF0> | 
MMAS, 19112022-113428, 124, 1, 1, 51, 40, 114689.0, 408.08850145339966, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 1.743846402008911e-05 |min_pheromone = 1.0822722856453321e-08 |smoothing_coef = 0.5 |globalbest = <ant_defs.Ant object at 0x0000016E961B6610> | 
MMAS, 19112022-114212, 124, 1, 1, 58, 47, 116407.0, 463.5070550441742, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 1.7181097356688172e-05 |min_pheromone = 1.0662995023355768e-08 |smoothing_coef = 0.5 |globalbest = <ant_defs.Ant object at 0x0000016E961B3B50> | 
ASRANK, 19112022-114950, 124, 1, 1, 40, 29, 116136.0, 320.70685505867004, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |elite_multiplier = 62 |globalbest = <ant_defs.Ant object at 0x0000016E94F356D0> | 
ASRANK, 19112022-115535, 124, 1, 1, 43, 32, 113215.0, 344.5013601779938, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |elite_multiplier = 62 |globalbest = <ant_defs.Ant object at 0x0000016E94F231F0> | 
Algorithm, Date, Population Count, alpha, beta, stagnation, best after, best, execution time, other variables 
Algorithm, Date, Population Count, alpha, beta, stagnation, best after, best, execution time, other variables 
AS, 19112022-134130, 124, 10, 10, 23, 12, 42601.0, 188.66033840179443, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.6 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x0000016E961CC130> | 
AS, 19112022-134432, 124, 10, 10, 22, 11, 42212.0, 182.3158757686615, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.6 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x0000016E971D9BE0> | 
AS, 19112022-134734, 124, 10, 10, 22, 11, 41377.0, 181.76092553138733, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.6 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x0000016E961CC460> | 
AS, 19112022-135036, 124, 10, 10, 22, 11, 42810.0, 182.29512095451355, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.6 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x0000016E971EBAC0> | 
AS, 19112022-135339, 124, 10, 10, 22, 11, 41369.0, 182.87029600143433, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.6 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x0000016E971EB610> | 
Algorithm, Date, Population Count, alpha, beta, stagnation, best after, best, execution time, other variables 
ACO, 19112022-141931, 124, 10, 10, 23, 12, 42060.0, 272.5885534286499, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.6 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000016E972E7CA0> | 
ACO, 19112022-142352, 124, 10, 10, 22, 11, 41655.0, 260.88375544548035, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.6 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000016E972EA7F0> | 
ACO, 19112022-143136, 124, 10, 10, 40, 29, 41331.0, 464.23379373550415, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.6 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000016E94F223D0> | 
ACO, 19112022-143715, 124, 10, 10, 29, 18, 41539.0, 339.5575523376465, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.6 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000016E94F22B80> | 
ACO, 19112022-144117, 124, 10, 10, 20, 9, 42339.0, 241.97676157951355, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.6 |startpheromone = 2.0 |selectionTypeConst = 0.3 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.Ant object at 0x0000016E961CCD60> | 
MMAS, 19112022-144650, 124, 10, 10, 39, 6, 41660.0, 332.5921308994293, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.6 |startpheromone = 2.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 6.0009601536245796e-05 |min_pheromone = 3.724337679079978e-08 |smoothing_coef = 0.5 |globalbest = <ant_defs.Ant object at 0x0000016E97075F70> | 
MMAS, 19112022-145248, 124, 10, 10, 42, 31, 42151.0, 357.7258367538452, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.6 |startpheromone = 2.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 5.9310573889112955e-05 |min_pheromone = 3.680954371437733e-08 |smoothing_coef = 0.5 |globalbest = <ant_defs.Ant object at 0x0000016E97075100> | 
MMAS, 19112022-145859, 124, 10, 10, 44, 33, 42133.0, 370.8719308376312, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.6 |startpheromone = 2.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 5.933591246766193e-05 |min_pheromone = 3.6825269434996765e-08 |smoothing_coef = 0.5 |globalbest = <ant_defs.Ant object at 0x0000016E94F22370> | 
MMAS, 19112022-150503, 124, 10, 10, 44, 22, 42204.0, 364.5663321018219, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.6 |startpheromone = 2.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 5.9236091365747325e-05 |min_pheromone = 3.676331810029189e-08 |smoothing_coef = 0.5 |globalbest = <ant_defs.Ant object at 0x0000016E972E7160> | 
MMAS, 19112022-151203, 124, 10, 10, 51, 18, 41826.0, 419.57863759994507, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.6 |startpheromone = 2.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 5.97714340362454e-05 |min_pheromone = 3.7095564412201e-08 |smoothing_coef = 0.5 |globalbest = <ant_defs.Ant object at 0x0000016E97474D90> | 
ASRANK, 19112022-153909, 124, 5, 10, 59, 48, 40607.0, 474.7375121116638, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.4 |startpheromone = 1.0 |elite_multiplier = 50 |globalbest = <ant_defs.Ant object at 0x0000016E9812DDF0> | 
ASRANK, 19112022-154629, 124, 5, 10, 54, 43, 40356.0, 440.56381249427795, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.4 |startpheromone = 1.0 |elite_multiplier = 50 |globalbest = <ant_defs.Ant object at 0x0000016E981C7EB0> | 
