Algorithm, Date, Population Count, alpha, beta, stagnation, best after, best, execution time, other variables 
AS, 20112022-185412, 53, 10, 10, 28, 17, 9078.0, 22.879636764526367, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.6 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DC55730> | 
AS, 20112022-185431, 53, 10, 10, 26, 15, 8743.0, 18.951407194137573, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.6 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DC11AC0> | 
AS, 20112022-185446, 53, 10, 10, 20, 9, 8593.0, 14.740938663482666, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.6 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DC531C0> | 
AS, 20112022-185507, 53, 10, 10, 29, 18, 8730.0, 21.22887134552002, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.6 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DC55550> | 
AS, 20112022-185521, 53, 10, 10, 19, 8, 8751.0, 14.022215604782104, pheromone_preference = 10 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.6 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DC55220> | 
AS, 20112022-185616, 53, 5, 10, 17, 6, 8577.0, 13.35594367980957, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DC4FEB0> | 
AS, 20112022-185637, 53, 5, 10, 28, 17, 8232.0, 21.38472867012024, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DC4F370> | 
AS, 20112022-185701, 53, 5, 10, 12, 1, 21416.0, 9.5635404586792, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.1 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DBE6040> | 
AS, 20112022-185747, 53, 5, 5, 34, 23, 8470.0, 24.602662086486816, pheromone_preference = 5 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DC4FCD0> | 
AS, 20112022-185813, 53, 1, 1, 17, 6, 16552.0, 12.59242868423462, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DBDCE50> | 
AS, 20112022-185827, 53, 1, 1, 19, 8, 16404.0, 14.225996732711792, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DEF1940> | 
AS, 20112022-185845, 53, 1, 1, 25, 14, 16701.0, 18.39892554283142, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DEF1880> | 
AS, 20112022-185928, 53, 1, 5, 19, 8, 16303.0, 14.118168354034424, pheromone_preference = 5 |heuristic_preference = 1 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DF11A00> | 
AS, 20112022-185940, 53, 1, 5, 15, 4, 17292.0, 11.445558071136475, pheromone_preference = 5 |heuristic_preference = 1 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DF11BE0> | 
AS, 20112022-185957, 53, 1, 5, 23, 12, 16546.0, 17.059976816177368, pheromone_preference = 5 |heuristic_preference = 1 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DF11CA0> | 
AS, 20112022-190011, 53, 1, 5, 19, 8, 16452.0, 14.01333737373352, pheromone_preference = 5 |heuristic_preference = 1 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DC4FC40> | 
AS, 20112022-190035, 53, 1, 5, 33, 22, 16790.0, 23.961827993392944, pheromone_preference = 5 |heuristic_preference = 1 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DF11E20> | 
AS, 20112022-190120, 53, 5, 5, 18, 7, 9000.0, 13.50699758529663, pheromone_preference = 5 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DC43A00> | 
AS, 20112022-190140, 53, 5, 5, 28, 17, 8427.0, 20.45872211456299, pheromone_preference = 5 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DC4FE20> | 
AS, 20112022-190159, 53, 5, 5, 25, 14, 9165.0, 18.57983422279358, pheromone_preference = 5 |heuristic_preference = 5 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DC4FFD0> | 
AS, 20112022-190229, 53, 10, 5, 15, 4, 20215.0, 11.228811264038086, pheromone_preference = 5 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DF11A00> | 
AS, 20112022-190241, 53, 10, 5, 16, 5, 19060.0, 11.925447940826416, pheromone_preference = 5 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DF3B2E0> | 
AS, 20112022-190253, 53, 10, 5, 16, 5, 19745.0, 11.935099363327026, pheromone_preference = 5 |heuristic_preference = 10 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DF3B760> | 
AS, 20112022-190326, 53, 3, 5, 22, 11, 9955.0, 16.31146264076233, pheromone_preference = 5 |heuristic_preference = 3 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DF3BDF0> | 
AS, 20112022-190346, 53, 3, 5, 27, 16, 9729.0, 19.699769258499146, pheromone_preference = 5 |heuristic_preference = 3 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DC43D90> | 
AS, 20112022-190411, 53, 3, 5, 35, 24, 9980.0, 25.327735424041748, pheromone_preference = 5 |heuristic_preference = 3 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DF3BF10> | 
AS, 20112022-190440, 53, 3, 5, 40, 29, 9926.0, 28.799764156341553, pheromone_preference = 5 |heuristic_preference = 3 |Qval = 2 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DC2BFD0> | 
AS, 20112022-190515, 53, 1, 5, 21, 10, 16754.0, 15.565723896026611, pheromone_preference = 5 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DF11F10> | 
AS, 20112022-190529, 53, 1, 5, 20, 9, 16074.0, 14.83205533027649, pheromone_preference = 5 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.9 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001341DF11E80> | 
