Algorithm, Date, Population Count, alpha, beta, stagnation, best after, best, execution time, other variables 
AS, 26112022-095919, 26, 5, 10, 10, -1, 100000000.0, 0.9080944061279297, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.5 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x0000015A6457E4F0> | 
AS, 26112022-095920, 26, 5, 10, 10, -1, 100000000.0, 0.8886291980743408, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.5 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x0000015A6450DF10> | 
AS, 26112022-095921, 26, 5, 10, 10, -1, 100000000.0, 0.9108545780181885, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.5 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x0000015A6457E910> | 
AS, 26112022-095922, 26, 5, 10, 10, -1, 100000000.0, 0.8938887119293213, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.5 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x0000015A644CCB80> | 
AS, 26112022-095923, 26, 5, 10, 10, -1, 100000000.0, 0.905930757522583, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.5 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x0000015A6457E4F0> | 
Algorithm, Date, Population Count, alpha, beta, stagnation, best after, best, execution time, other variables 
AS, 26112022-100042, 26, 5, 10, 10, -1, 100000000.0, 0.9235270023345947, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.5 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x0000015A64590520> | 
AS, 26112022-100043, 26, 5, 10, 10, -1, 100000000.0, 0.9018776416778564, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.5 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x0000015A64506DF0> | 
AS, 26112022-100044, 26, 5, 10, 10, -1, 100000000.0, 0.8876254558563232, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.5 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x0000015A64524460> | 
AS, 26112022-100045, 26, 5, 10, 10, -1, 100000000.0, 0.9195139408111572, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.5 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x0000015A645907F0> | 
AS, 26112022-100045, 26, 5, 10, 10, -1, 100000000.0, 0.9018881320953369, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.5 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x0000015A64506DF0> | 
Algorithm, Date, Population Count, alpha, beta, stagnation, best after, best, execution time, other variables 
AS, 26112022-100313, 26, 5, 10, 11, 0, 100000000.0, 1.004697561264038, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.5 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001B9D831AA00> | 
AS, 26112022-100314, 26, 5, 10, 11, 0, 100000000.0, 1.0071849822998047, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.5 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001B9D83C4FD0> | 
AS, 26112022-100315, 26, 5, 10, 11, 0, 100000000.0, 0.9550478458404541, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.5 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001B9D83C48E0> | 
AS, 26112022-100316, 26, 5, 10, 11, 0, 100000000.0, 0.9714486598968506, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.5 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001B9D83C4AC0> | 
AS, 26112022-100317, 26, 5, 10, 11, 0, 100000000.0, 0.9716446399688721, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.5 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001B9D83C4550> | 
Algorithm, Date, Population Count, alpha, beta, stagnation, best after, best, execution time, other variables 
AS, 26112022-100359, 26, 5, 10, 15, 4, 152870014.0, 1.326117753982544, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.5 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001B9D83AF3D0> | 
AS, 26112022-100401, 26, 5, 10, 14, 3, 152748175.0, 1.2422187328338623, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.5 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001B9D83AF400> | 
AS, 26112022-100402, 26, 5, 10, 15, 4, 152747951.0, 1.3110237121582031, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.5 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001B9D83AFD30> | 
AS, 26112022-100403, 26, 5, 10, 15, 4, 152698477.0, 1.3052144050598145, pheromone_preference = 10 |heuristic_preference = 5 |Qval = 1 |evaporation = 0.5 |startpheromone = 2.0 |globalbest = <ant_defs.Ant object at 0x000001B9D83AFFA0> | 
