Algorithm, Date, Population Count, alpha, beta, stagnation, best after, best, execution time, other variables 
AS, 29112022-074148, 26, 1, 1, 16, 5, 1320, 0.8591947555541992, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.QapAnt object at 0x000001F6C78412B0> | 
AS, 29112022-074149, 26, 1, 1, 14, 3, 1374, 0.6942050457000732, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.QapAnt object at 0x000001F6C7841400> | 
AS, 29112022-074150, 26, 1, 1, 21, 10, 1390, 0.9873929023742676, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.QapAnt object at 0x000001F6C78414C0> | 
AS, 29112022-074150, 26, 1, 1, 14, 3, 1352, 0.675572395324707, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.QapAnt object at 0x000001F6C7841AC0> | 
AS, 29112022-074151, 26, 1, 1, 16, 5, 1370, 0.7635834217071533, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.QapAnt object at 0x000001F6C7841E50> | 
ACO, 29112022-074153, 53, 1, 1, 21, 10, 1380, 2.0739798545837402, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.QapAnt object at 0x000001F6C77F46A0> | 
ACO, 29112022-074155, 53, 1, 1, 21, 10, 1296, 2.071991205215454, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.QapAnt object at 0x000001F6C77F49A0> | 
ACO, 29112022-074157, 53, 1, 1, 18, 7, 1352, 1.777899980545044, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.QapAnt object at 0x000001F6C77F4340> | 
ACO, 29112022-074159, 53, 1, 1, 20, 9, 1346, 2.0130248069763184, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.QapAnt object at 0x000001F6C77F4070> | 
ACO, 29112022-074201, 53, 1, 1, 15, 4, 1332, 1.5604689121246338, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.QapAnt object at 0x000001F6C77F44F0> | 
MMAS, 29112022-074204, 53, 1, 1, 34, 1, 1344, 3.1629045009613037, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 0.001488095238095238 |min_pheromone = 5.060789836711724e-05 |smoothing_coef = 0.5 |globalbest = <ant_defs.QapAnt object at 0x000001F6A7AED040> | 
MMAS, 29112022-074208, 53, 1, 1, 41, 30, 1314, 4.044677734375, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 0.0015220700152207 |min_pheromone = 5.176332983668613e-05 |smoothing_coef = 0.5 |globalbest = <ant_defs.QapAnt object at 0x000001F6C78013A0> | 
MMAS, 29112022-074213, 53, 1, 1, 46, 13, 1350, 4.934765815734863, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 0.0014814814814814814 |min_pheromone = 5.03829743743745e-05 |smoothing_coef = 0.5 |globalbest = <ant_defs.QapAnt object at 0x000001F6C78010A0> | 
MMAS, 29112022-074217, 53, 1, 1, 43, 32, 1280, 4.142486095428467, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 0.0015625 |min_pheromone = 5.313829328547311e-05 |smoothing_coef = 0.5 |globalbest = <ant_defs.QapAnt object at 0x000001F6C77F4A30> | 
MMAS, 29112022-074220, 53, 1, 1, 35, 13, 1312, 3.168426752090454, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 0.001524390243902439 |min_pheromone = 5.184223735168108e-05 |smoothing_coef = 0.5 |globalbest = <ant_defs.QapAnt object at 0x000001F6C7801D30> | 
ASRANK, 29112022-074222, 53, 1, 1, 12, 1, 1286, 1.2792649269104004, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |elite_multiplier = 62 |globalbest = <ant_defs.QapAnt object at 0x000001F6C77F4D00> | 
ASRANK, 29112022-074223, 53, 1, 1, 14, 3, 1364, 1.431877613067627, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |elite_multiplier = 62 |globalbest = <ant_defs.QapAnt object at 0x000001F6C7801B20> | 
ASRANK, 29112022-074226, 53, 1, 1, 29, 18, 1304, 2.761737585067749, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |elite_multiplier = 62 |globalbest = <ant_defs.QapAnt object at 0x000001F6C78010D0> | 
ASRANK, 29112022-074227, 53, 1, 1, 15, 4, 1358, 1.446596384048462, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |elite_multiplier = 62 |globalbest = <ant_defs.QapAnt object at 0x000001F6C77F4130> | 
ASRANK, 29112022-074230, 53, 1, 1, 29, 18, 1318, 2.7197413444519043, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |elite_multiplier = 62 |globalbest = <ant_defs.QapAnt object at 0x000001F6C78015B0> | 
