Algorithm, Date, Population Count, alpha, beta, stagnation, best after, best, execution time, other variables 
AS, 30112022-144437, 26, 1, 1, 22, 6, 295766, 118.6421627998352, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.QapAnt object at 0x000002409AB984F0> | 
AS, 30112022-144643, 26, 1, 1, 23, 7, 296332, 125.32784605026245, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.QapAnt object at 0x000002409985CC40> | 
AS, 30112022-144850, 26, 1, 1, 23, 7, 295544, 126.85974621772766, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.QapAnt object at 0x00000240997E9B50> | 
ACO, 30112022-145158, 53, 1, 1, 16, 0, 295214, 187.92339324951172, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.QapAnt object at 0x000002409AB98550> | 
ACO, 30112022-145644, 53, 1, 1, 25, 9, 296210, 286.70933270454407, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.QapAnt object at 0x000002409AB98460> | 
ACO, 30112022-150209, 53, 1, 1, 28, 12, 295572, 325.2131493091583, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.QapAnt object at 0x000002409AB98A90> | 
MMAS, 30112022-151329, 53, 1, 1, 60, 28, 294500, 679.4137887954712, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 6.7911714770797965e-06 |min_pheromone = 4.214761499775127e-09 |smoothing_coef = 0.5 |globalbest = <ant_defs.QapAnt object at 0x000002409AB98CD0> | 
MMAS, 30112022-152745, 53, 1, 1, 77, 29, 295388, 856.0553634166718, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 6.770755751757011e-06 |min_pheromone = 4.202091018199029e-09 |smoothing_coef = 0.5 |globalbest = <ant_defs.QapAnt object at 0x00000240F9B71C10> | 
MMAS, 30112022-153849, 53, 1, 1, 60, 12, 295060, 663.8384830951691, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |best_pheromone_selection_prob = 0.05 |max_pheromone = 6.778282383244086e-06 |min_pheromone = 4.206762223560547e-09 |smoothing_coef = 0.5 |globalbest = <ant_defs.QapAnt object at 0x000002409AB98220> | 
ASRANK, 30112022-154337, 53, 1, 1, 27, 11, 295084, 287.68761920928955, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |elite_multiplier = 62 |globalbest = <ant_defs.QapAnt object at 0x0000024099873C10> | 
ASRANK, 30112022-154804, 53, 1, 1, 24, 8, 295262, 267.5655264854431, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |elite_multiplier = 62 |globalbest = <ant_defs.QapAnt object at 0x000002409AB98B20> | 
ASRANK, 30112022-155313, 53, 1, 1, 27, 11, 294954, 308.5423092842102, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |elite_multiplier = 62 |globalbest = <ant_defs.QapAnt object at 0x00000240998384F0> | 
