Algorithm, Date, Population Count, alpha, beta, stagnation, best after, best, execution time, other variables 
AS, 30112022-094918, 26, 1, 1, 16, 0, 8336232, 23.036595106124878, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.QapAnt object at 0x000001C579E79BB0> | 
AS, 30112022-094946, 26, 1, 1, 21, 5, 8286566, 28.65460443496704, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.QapAnt object at 0x000001C579E79E80> | 
AS, 30112022-095032, 26, 1, 1, 35, 19, 8303484, 46.18060541152954, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.QapAnt object at 0x000001C579E793D0> | 
AS, 30112022-095124, 26, 1, 1, 40, 24, 8303570, 51.960460901260376, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.QapAnt object at 0x000001C579E79820> | 
AS, 30112022-095146, 26, 1, 1, 16, 0, 8309460, 21.649994611740112, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.QapAnt object at 0x000001C579E791C0> | 
ACO, 30112022-095309, 53, 1, 1, 29, 13, 8291924, 82.66661334037781, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.QapAnt object at 0x000001C579E76670> | 
ACO, 30112022-095410, 53, 1, 1, 21, 5, 8246648, 61.21362543106079, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.QapAnt object at 0x000001C579E76910> | 
ACO, 30112022-095457, 53, 1, 1, 16, 0, 8278106, 46.82884669303894, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.QapAnt object at 0x000001C579E79BE0> | 
ACO, 30112022-095606, 53, 1, 1, 24, 8, 8302498, 68.87621641159058, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.QapAnt object at 0x000001C579E76DC0> | 
ACO, 30112022-095720, 53, 1, 1, 26, 10, 8259548, 74.29462003707886, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.QapAnt object at 0x000001C579E799D0> | 
