Algorithm, Date, Population Count, alpha, beta, stagnation, best after, best, execution time, other variables 
AS, 30112022-092542, 26, 1, 1, 23, 7, 880329516, 28.831653594970703, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.QapAnt object at 0x000002C86ECCC1F0> | 
AS, 30112022-092613, 26, 1, 1, 24, 8, 886537342, 30.414899349212646, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.QapAnt object at 0x000002C80F8788B0> | 
AS, 30112022-092637, 26, 1, 1, 19, 3, 892667286, 24.16864585876465, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.QapAnt object at 0x000002C80F9178E0> | 
AS, 30112022-092700, 26, 1, 1, 18, 2, 894330446, 22.99390459060669, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.QapAnt object at 0x000002C8709969A0> | 
AS, 30112022-092723, 26, 1, 1, 18, 2, 912187095, 23.243983507156372, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |globalbest = <ant_defs.QapAnt object at 0x000002C80F86DD30> | 
ACO, 30112022-092805, 53, 1, 1, 15, -1, 100000000.0, 41.345073223114014, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.QapAnt object at 0x000002C870996880> | 
ACO, 30112022-092846, 53, 1, 1, 15, -1, 100000000.0, 41.31227207183838, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.QapAnt object at 0x000002C86FBAB370> | 
ACO, 30112022-092928, 53, 1, 1, 15, -1, 100000000.0, 41.54210638999939, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.QapAnt object at 0x000002C80F827BE0> | 
ACO, 30112022-093009, 53, 1, 1, 15, -1, 100000000.0, 41.27721095085144, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.QapAnt object at 0x000002C80F917FA0> | 
ACO, 30112022-093050, 53, 1, 1, 15, -1, 100000000.0, 41.2953884601593, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |selectionTypeConst = 0.5 |ACS_qlearn_gamma = 0.5 |globalbest = <ant_defs.QapAnt object at 0x000002C86FBAB130> | 
ASRANK, 30112022-093355, 53, 1, 1, 15, -1, 100000000.0, 40.45303010940552, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |elite_multiplier = 62 |globalbest = <ant_defs.QapAnt object at 0x000002C80F93B5E0> | 
ASRANK, 30112022-093436, 53, 1, 1, 15, -1, 100000000.0, 40.823296308517456, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |elite_multiplier = 62 |globalbest = <ant_defs.QapAnt object at 0x000002C80F93B1C0> | 
ASRANK, 30112022-093516, 53, 1, 1, 15, -1, 100000000.0, 39.829015254974365, pheromone_preference = 1 |heuristic_preference = 1 |Qval = 1 |evaporation = 0.5 |startpheromone = 1.0 |elite_multiplier = 62 |globalbest = <ant_defs.QapAnt object at 0x000002C80F93B100> | 
